Date,signal,short_mavg,long_mavg,positions
2021-07-28 00:00:00-04:00,0.0,216.5977783203125,220.46293395996094,0.0
2021-07-29 00:00:00-04:00,0.0,218.79000345865884,220.74000061035156,0.0
2021-07-30 00:00:00-04:00,1.0,223.50333658854166,220.8384002685547,1.0
2021-08-02 00:00:00-04:00,1.0,230.4688924153646,221.34240051269532,0.0
2021-08-03 00:00:00-04:00,1.0,234.06777954101562,221.6226672363281,0.0
2021-08-04 00:00:00-04:00,1.0,236.70333353678384,222.02480041503907,0.0
2021-08-05 00:00:00-04:00,1.0,237.25444539388022,222.4905340576172,0.0
2021-08-06 00:00:00-04:00,1.0,236.07222493489584,222.7729345703125,0.0
2021-08-09 00:00:00-04:00,1.0,236.38778177897134,223.237734375,0.0
2021-08-10 00:00:00-04:00,1.0,235.87222290039062,223.90986755371094,0.0
2021-08-11 00:00:00-04:00,1.0,236.8411102294922,224.75213439941408,0.0
2021-08-12 00:00:00-04:00,1.0,237.7844441731771,225.67800109863282,0.0
2021-08-13 00:00:00-04:00,1.0,238.58222452799478,226.48093444824218,0.0
2021-08-16 00:00:00-04:00,1.0,236.17666625976562,226.48720092773436,0.0
2021-08-17 00:00:00-04:00,1.0,229.89444478352866,226.4494677734375,0.0
2021-08-18 00:00:00-04:00,0.0,226.7633310953776,226.924267578125,-1.0
2021-08-19 00:00:00-04:00,0.0,225.35222371419272,227.2292010498047,0.0
2021-08-20 00:00:00-04:00,0.0,226.96888732910156,227.70973388671874,0.0
2021-08-23 00:00:00-04:00,1.0,228.89222208658853,228.51080078125,1.0
2021-08-24 00:00:00-04:00,1.0,232.78333028157553,229.1506671142578,0.0
2021-08-25 00:00:00-04:00,1.0,236.22111002604166,229.8961340332031,0.0
2021-08-26 00:00:00-04:00,1.0,235.6499989827474,230.58813415527345,0.0
2021-08-27 00:00:00-04:00,1.0,236.03111267089844,231.50200073242186,0.0
2021-08-30 00:00:00-04:00,1.0,238.2211151123047,232.4792010498047,0.0
2021-08-31 00:00:00-04:00,1.0,242.06111653645834,233.69173461914062,0.0
2021-09-01 00:00:00-04:00,1.0,244.52444966634116,234.85320129394532,0.0
2021-09-02 00:00:00-04:00,1.0,244.68889363606772,235.58706787109375,0.0
2021-09-03 00:00:00-04:00,1.0,244.45000203450522,236.20533447265626,0.0
2021-09-07 00:00:00-04:00,1.0,246.54222106933594,236.78200073242186,0.0
2021-09-08 00:00:00-04:00,1.0,248.92888387044272,237.370400390625,0.0
2021-09-09 00:00:00-04:00,1.0,251.29443868001303,237.95626708984375,0.0
2021-09-10 00:00:00-04:00,1.0,249.44444274902344,238.24480041503907,0.0
2021-09-13 00:00:00-04:00,1.0,248.2366689046224,238.8301336669922,0.0
2021-09-14 00:00:00-04:00,1.0,247.0844472249349,239.23986694335937,0.0
2021-09-15 00:00:00-04:00,1.0,249.25777689615884,239.85106689453124,0.0
2021-09-16 00:00:00-04:00,1.0,250.81222025553384,240.5066668701172,0.0
2021-09-17 00:00:00-04:00,1.0,252.47888692220053,241.0032000732422,0.0
2021-09-20 00:00:00-04:00,1.0,249.62777709960938,241.176533203125,0.0
2021-09-21 00:00:00-04:00,1.0,247.67111206054688,241.88600036621094,0.0
2021-09-22 00:00:00-04:00,1.0,246.83222452799478,243.03573364257812,0.0
2021-09-23 00:00:00-04:00,1.0,249.44000244140625,243.89773376464845,0.0
2021-09-24 00:00:00-04:00,1.0,253.3300018310547,245.24333374023436,0.0
2021-09-27 00:00:00-04:00,1.0,257.7100067138672,246.72466796875,0.0
2021-09-28 00:00:00-04:00,1.0,260.36778767903644,247.6748016357422,0.0
2021-09-29 00:00:00-04:00,1.0,261.1366780598958,248.6457354736328,0.0
2021-09-30 00:00:00-04:00,1.0,259.3722330729167,249.502802734375,0.0
2021-10-01 00:00:00-04:00,1.0,259.1122334798177,250.49026977539063,0.0
2021-10-04 00:00:00-04:00,1.0,259.1366780598958,251.4184033203125,0.0
2021-10-05 00:00:00-04:00,1.0,259.70444742838544,252.0808026123047,0.0
2021-10-06 00:00:00-04:00,1.0,260.5411071777344,252.70786865234376,0.0
2021-10-07 00:00:00-04:00,1.0,261.8833312988281,253.50146911621093,0.0
2021-10-08 00:00:00-04:00,1.0,262.4277750651042,254.20946838378907,0.0
2021-10-11 00:00:00-04:00,1.0,263.4488932291667,254.98773559570313,0.0
2021-10-12 00:00:00-04:00,1.0,264.79444376627606,255.69173583984374,0.0
2021-10-13 00:00:00-04:00,1.0,267.6377766927083,256.45453552246096,0.0
2021-10-14 00:00:00-04:00,1.0,270.5688883463542,257.30066955566406,0.0
2021-10-15 00:00:00-04:00,1.0,274.7144470214844,258.72413635253906,0.0
2021-10-18 00:00:00-04:00,1.0,281.2733459472656,260.41893676757815,0.0
2021-10-19 00:00:00-04:00,1.0,286.37889607747394,262.01600341796876,0.0
2021-10-20 00:00:00-04:00,1.0,288.9088948567708,263.4822705078125,0.0
2021-10-21 00:00:00-04:00,1.0,291.56333414713544,265.3090704345703,0.0
2021-10-22 00:00:00-04:00,1.0,296.60888671875,267.31160339355466,0.0
2021-10-25 00:00:00-04:00,1.0,314.28221638997394,271.24080322265627,0.0
2021-10-26 00:00:00-04:00,1.0,328.10776774088544,274.96146911621094,0.0
2021-10-27 00:00:00-04:00,1.0,342.34999593098956,278.77373596191404,0.0
2021-10-28 00:00:00-04:00,1.0,348.1477762858073,283.0857360839844,0.0
2021-10-29 00:00:00-04:00,1.0,358.7666727701823,287.61386962890623,0.0
2021-11-01 00:00:00-04:00,1.0,377.73667399088544,293.17693603515625,0.0
2021-11-02 00:00:00-04:00,1.0,388.28778076171875,298.43613525390623,0.0
2021-11-03 00:00:00-04:00,1.0,399.3833312988281,304.20346801757813,0.0
2021-11-04 00:00:00-04:00,1.0,401.75221761067706,310.2625341796875,0.0
2021-11-05 00:00:00-04:00,1.0,407.3177795410156,316.22080078125,0.0
2021-11-08 00:00:00-05:00,1.0,401.6600036621094,321.30626708984374,0.0
